,Apparel,Automotive,Beauty,Beverage,Business,Construction,Dining,Education,Financial,Food,Health and Medicine,Household,Shopping and Retail,Toiletries,Tourism and Travel,Transport and Logistics,Slogan,EncodedValues
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Share our passion for swimming,"[736500000, 560500000, 603000000]"
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Serious swimmers prefer Zoggs,"[594000000, 445500000, 668500000]"
17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,If you doubt yourself wear something else,"[482000000, 383000000, 438999999]"
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swimwear that sticks,"[526999999, 381000000, 582000000]"
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All you need to reach the beach,"[614666666, 404000000, 549333333]"
20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dive into colour,"[0, 0, 0]"
21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Virtual skin,"[578000000, 325000000, 500000000]"
22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Look good Swim fast,"[789000000, 366000000, 641000000]"
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Be beautiful Be you,"[761000000, 571000000, 617000000]"
24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Worldwide beach culture,"[674500000, 458000000, 570500000]"
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Custom fit Custom fabulous,"[706000000, 475000000, 668000000]"
26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The leader in sun protection,"[663000000, 463999999, 599666666]"
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sun Safe Style,"[0, 0, 0]"
28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Look better nearly naked,"[621000000, 558000000, 560000000]"
29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Always look your best even undressed,"[597500000, 455500000, 576500000]"
30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tweans Fashion that fits my style,"[654500000, 447499999, 679000000]"
31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ex Officio Clothes for a big planet,"[595500000, 434000000, 586000000]"
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ExOfficio Expect more from your clothes,"[677000000, 314000000, 547000000]"
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The ultimate clothing to see the world in,"[621000000, 449749999, 589750000]"
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Form follows you,"[0, 0, 0]"
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falke Soul texture,"[557000000, 333000000, 529000000]"
36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falke For tomorrow's people,"[570000000, 377000000, 540000000]"
37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Global warming ready,"[664000000, 390000000, 606000000]"
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,What becomes a Legend most,"[0, 0, 0]"
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isn't it time you got an Oscar,"[560000000, 341000000, 436000000]"
40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Paula Lishman Timeless elegant sustainable,"[700000000, 443000000, 595000000]"
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A style for every story,"[703999999, 405999999, 640000000]"
42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Have you ever had a bad time in Levi s,"[442000000, 413500000, 396000000]"
43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Quality never goes out of style,"[656500000, 473000000, 640000000]"
44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Levis Original jeans Original people,"[587500000, 309000000, 529500000]"
45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Our models can beat up their models,"[588749999, 411499999, 627250000]"
46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nothing comes between me and my Calvins,"[564000000, 357000000, 594000000]"
47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,My bottoms are tops,"[480500000, 376000000, 484500000]"
48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Luxury of Dirt,"[0, 0, 0]"
49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diesel For Successful Living,"[0, 0, 0]"
50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Behind The Scenes Since 1889,"[0, 0, 0]"
51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lee The jeans that built America,"[605000000, 241000000, 519000000]"
52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gas Keep it Simple,"[0, 0, 0]"
53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gas It's True,"[0, 0, 0]"
54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fashion is nothing without people,"[570000000, 377000000, 540000000]"
55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lawman Leaves everyone speechless,"[453000000, 345000000, 445000000]"
56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mudd Better when it's on you,"[0, 0, 0]"
57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Our name is Mudd,"[562000000, 304000000, 513999999]"
58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meltin Pot Share life,"[668000000, 559000000, 589000000]"
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop wishing Start living,"[0, 0, 0]"
60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meltin Pot Get real,"[709000000, 405000000, 589000000]"
61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jeans your skin,"[578000000, 325000000, 500000000]"
62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wrangler There's a bit of the West in all of us,"[505000000, 386000000, 553000000]"
63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIS Denim Made for Pleasure,"[0, 0, 0]"
64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blue Cult Uncompromising,"[0, 0, 0]"
65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G I V E Get Involved Volunteer Exceed,"[0, 0, 0]"
66,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True Style never dies,"[0, 0, 0]"
67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mustang Jeans never die They just fade away,"[316000000, 505000000, 395500000]"
68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It's hard to be nice if you don't feel comfortable,"[628400000, 357799999, 586400000]"
69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The official uniform of New York,"[506000000, 379500000, 506000000]"
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shoes designed to move you,"[495000000, 424000000, 512000000]"
71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ecco Shoes for life,"[668000000, 559000000, 589000000]"
72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clarks Shoes designed for living,"[0, 0, 0]"
73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Be your own label,"[479000000, 338000000, 548000000]"
74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,For all the places you'll go,"[609000000, 419000000, 593000000]"
75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clarks Shoes to live in,"[795000000, 471000000, 650000000]"
76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Make it better,"[0, 0, 0]"
77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Timberland Don't Wear It Use It,"[0, 0, 0]"
78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cardinale Give value to you feet,"[593000000, 428000000, 610500000]"
79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zivas The finest Footwear for the Active lifestyle,"[595000000, 552000000, 640000000]"
80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Riccardo Cartillone Highest Heels,"[0, 0, 0]"
81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bostonian Look Again,"[0, 0, 0]"
82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Finn Comfort The Finest Walking Shoes On Earth,"[0, 0, 0]"
83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allen Edmonds For All Walks of Life,"[0, 0, 0]"
84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arche Color dream shoes,"[660500000, 338500000, 542000000]"
85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Beverly Feldman Too much is not enough,"[0, 0, 0]"
86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bobux The Baby shoes that Stay On,"[578000000, 240000000, 544000000]"
87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peter Kaiser Jewelry for your legs,"[622000000, 275000000, 550000000]"
88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Startrite Worn by the world's most precious feet,"[576000000, 320500000, 586000000]"
89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Elefanten Discover your world,"[646000000, 455000000, 512000000]"
90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josef Seibel The European Comfort Shoe,"[0, 0, 0]"
91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wolverine They don't quit,"[372000000, 405000000, 438999999]"
92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Relentless by nature,"[688000000, 400000000, 500000000]"
93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Think Healthy shoes Naturally beautiful,"[669500000, 405500000, 580500000]"
94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Taryn Rose Luxury intelligence technology,"[659000000, 547000000, 596000000]"
95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All play No work,"[630000000, 407000000, 620500000]"
96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Your feet will feel better,"[542333333, 324000000, 602666666]"
97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The uncommon thread,"[542500000, 353500000, 518000000]"
98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The best socks on two feet,"[513666666, 306333333, 538666666]"
99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,High tech for your feet,"[522499999, 343499999, 576000000]"
100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The performance sock company,"[542333333, 399666666, 569666666]"
101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Life is movement,"[658000000, 400000000, 596000000]"
102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,If feet talked they'd ask for Wigwams,"[531499999, 312500000, 613000000]"
103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We've got your feet covered,"[468000000, 277000000, 597000000]"
104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The world at your feet,"[557000000, 366000000, 554500000]"
105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comfort in socks,"[443000000, 309000000, 513999999]"
106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Help put Australia back on its feet,"[484333333, 307333333, 571000000]"
107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Get ready to go anywhere,"[648000000, 438000000, 569500000]"
108,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,They fall up not down,"[389000000, 424000000, 383000000]"
109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inspired by movement,"[658000000, 400000000, 596000000]"
110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enduring comfort,"[724000000, 276000000, 718000000]"
111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Farm to Feet 100 American,"[0, 0, 0]"
112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Good for your feet Good for our world,"[557000000, 366000000, 554500000]"
113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clever engineering you can feel,"[622666666, 344333333, 585000000]"
114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poetry for your feet,"[468000000, 277000000, 597000000]"
115,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bless your feet,"[468000000, 277000000, 597000000]"
116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Creating healthy feet,"[622000000, 348000000, 648500000]"
117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Love your feet,"[468000000, 277000000, 597000000]"
118,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,More sock for the money,"[576500000, 497499999, 573000000]"
119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Air conditioning for feet,"[478500000, 327000000, 596500000]"
120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Don't take off without them,"[482000000, 451999999, 483000000]"
121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Do what moves you,"[495000000, 424000000, 512000000]"
122,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eco performance socks,"[531499999, 434999999, 604500000]"
123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Our socks to keep you going,"[537500000, 326000000, 542500000]"
124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Socks when you demand performance,"[515000000, 573000000, 604500000]"
125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fighting for better workwear,"[0, 0, 0]"
126,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Love what you wear,"[636000000, 333000000, 572000000]"
127,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hard Yakka Nothing's tougher,"[0, 0, 0]"
128,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Let's get to work,"[557000000, 400000000, 588500000]"
129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,For the big jobs,"[564000000, 416500000, 502500000]"
130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Do it once do it well,"[541000000, 367000000, 635000000]"
131,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Working hard never felt better,"[434999999, 450000000, 496000000]"
132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,If they were any tougher they'd rust,"[405000000, 342000000, 400000000]"
133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hard working hard wearing since 1922,"[434999999, 450000000, 496000000]"
134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dickies A legend in work,"[595500000, 473000000, 645000000]"
135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fit you Fit your job,"[564000000, 400000000, 444000000]"
136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prepare for the worst Wear the best,"[0, 0, 0]"
137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alexandra Clothes that mean business,"[395500000, 426000000, 476000000]"
138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Expect compliments,"[724000000, 590000000, 614000000]"
139,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Inspired comfort,"[724000000, 276000000, 718000000]"
140,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Landau Made better,"[0, 0, 0]"
141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Live your life Love your job,"[616000000, 479500000, 516500000]"
142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enjoy work,"[505000000, 433000000, 612000000]"
143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clothing people at work,"[537500000, 405000000, 576000000]"
144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Clothes designed to work,"[505000000, 433000000, 612000000]"
145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corporate clothing that people love to wear,"[660750000, 422499999, 594000000]"
146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Corporate wear with a difference,"[562500000, 324000000, 558000000]"
147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mascot Tested to work,"[505000000, 433000000, 612000000]"
148,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It's gonna get dirty,"[463000000, 435999999, 534999999]"
149,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Protection at it's Best,"[0, 0, 0]"
150,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Affordable durability,"[0, 0, 0]"
151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Designed to work as hard as you,"[469999999, 441500000, 554000000]"
152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Red Kap Done right,"[732000000, 500000000, 716000000]"
153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch your brand on,"[505000000, 282000000, 457000000]"
154,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Show the world how smart you are,"[709500000, 418000000, 596500000]"
155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liz As delicate as a caress,"[660000000, 384500000, 571000000]"
156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Your not so secret weapon,"[464000000, 520500000, 514499999]"
157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The one and only Wonderbra,"[609000000, 267000000, 556000000]"
158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Next to myself I like BVD best,"[744000000, 440000000, 628000000]"
159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triumph has the bra for the way you are,"[590500000, 341000000, 523000000]"
160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arktur Classic for men,"[0, 0, 0]"
161,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Playtex Real solutions for today's women,"[669500000, 404500000, 623000000]"
162,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Men don't want to look at naked men,"[605333333, 487666666, 562333333]"
163,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blaupunkt The advantage in your car,"[667000000, 399500000, 680000000]"
164,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kenwood Listen to the Future,"[0, 0, 0]"
165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rockford Fosgate Car audio for fanatics,"[561500000, 523000000, 513500000]"
166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Volfenhag A German Concept,"[0, 0, 0]"
167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kicker Fuel for Livin Loud,"[0, 0, 0]"
168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not just oil Pennzoil,"[391000000, 425000000, 563000000]"
169,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Havoline Add More Life to Your Car,"[0, 0, 0]"
170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mobil 1 The oil that's changing oil,"[391000000, 425000000, 563000000]"
171,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unlike any other,"[541000000, 348000000, 600000000]"
172,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mercedes Benz The Future of the Automobile,"[0, 0, 0]"
173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Engineered to move the human spirit,"[613333333, 429666666, 573666666]"
174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Power of Dreams,"[0, 0, 0]"
175,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It must be love,"[654333333, 429666666, 549333333]"
176,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Honda First man then machine,"[521000000, 437500000, 512000000]"
177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Technology you can enjoy,"[704000000, 407000000, 686000000]"
178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The True Definition of Luxury Yours,"[0, 0, 0]"
179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acura Precision Crafted Performance,"[0, 0, 0]"
180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Driven by passion FIAT,"[753000000, 608000000, 623000000]"
181,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alfa Romeo Beauty is not enough,"[0, 0, 0]"
182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Power for your control,"[443000000, 476000000, 547000000]"
183,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Volvo For life,"[668000000, 559000000, 589000000]"
184,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Subaru Think Feel Drive,"[0, 0, 0]"
185,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Driven By What's Inside,"[0, 0, 0]"
186,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,When You Get It You Get It,"[0, 0, 0]"
187,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The Beauty of All Wheel Drive,"[0, 0, 0]"
188,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ford Feel the difference,"[488999999, 315000000, 544000000]"
189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ford Bold moves,"[495000000, 424000000, 512000000]"
190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Built for life in Canada,"[668000000, 559000000, 589000000]"
191,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Built for the road ahead,"[559000000, 381000000, 600000000]"
192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ford Designed for living Engineered to last,"[0, 0, 0]"
193,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Have you driven a Ford lately,"[0, 0, 0]"
194,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Infiniti Accelerating the Future,"[0, 0, 0]"
195,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drive happy,"[847000000, 605000000, 721000000]"
196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Britain's leading car hypermarket,"[663000000, 404000000, 641000000]"
197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Driven to exceed expectations,"[544500000, 501000000, 590000000]"
198,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes we make it easy,"[677999999, 374500000, 650500000]"
199,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Your family car store,"[660666666, 394000000, 594333333]"
200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Enjoy car shopping,"[663000000, 404000000, 641000000]"
201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,As individual as you are,"[617000000, 347000000, 686000000]"
202,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arnold Clark It's about you,"[0, 0, 0]"
203,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Promises delivered,"[0, 0, 0]"
204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Keeping you on the move,"[495000000, 424000000, 512000000]"
205,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Driven by you,"[0, 0, 0]"
206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Believe in nice,"[695000000, 353000000, 647000000]"
207,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The best deals on four wheels,"[576666666, 376333333, 597666666]"
208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The hassle free way to buy a car,"[611200000, 408800000, 587000000]"
209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Drive what's possible,"[714000000, 371000000, 600000000]"
210,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CarMax Start here,"[0, 0, 0]"
211,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The way car buying should be,"[623999999, 345666666, 558000000]"
212,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cars you love at prices you can not resist,"[582500000, 387500000, 577000000]"
213,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friendliest car store on the planet,"[628000000, 394000000, 598666666]"
214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,The world's largest classic car company,"[619666666, 365000000, 590000000]"
215,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We share your passion,"[687500000, 464000000, 633500000]"
216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nobody beats Brondes,"[438000000, 552000000, 559000000]"
217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,All roads lead to Hilton,"[557499999, 388000000, 561000000]"
218,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Where the sale never ends,"[548000000, 500000000, 528500000]"
219,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,You know where we are,"[682000000, 324000000, 578000000]"
220,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,It's all good at Applewood,"[789000000, 366000000, 641000000]"
221,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Customers for life,"[668000000, 559000000, 589000000]"
222,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Service you expect at a price you wouldn t,"[544500000, 413000000, 475000000]"
223,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,We let our prices do the talking,"[543333333, 326000000, 567333333]"
