,Slogan,SlogansToList,IndexEncoded
32,ExOfficio Expect more from your clothes,"['ExOfficio', 'Expect', 'more', 'from', 'your', 'clothes']","[13916, 4336, 13916, 13916, 13916, 2233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,The ultimate clothing to see the world in,"['The', 'ultimate', 'clothing', 'to', 'see', 'the', 'world', 'in']","[13916, 12960, 2235, 13916, 10871, 13916, 13820, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
34,Form follows you,"['Form', 'follows', 'you']","[4868, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,Falke Soul texture,"['Falke', 'Soul', 'texture']","[13916, 11499, 12463, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,Falke For tomorrow's people,"['Falke', 'For', ""tomorrow's"", 'people']","[13916, 13916, 13916, 8886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,Global warming ready,"['Global', 'warming', 'ready']","[5231, 13916, 9905, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,What becomes a Legend most,"['What', 'becomes', 'a', 'Legend', 'most']","[13916, 13916, 13916, 7011, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,Isn't it time you got an Oscar,"[""Isn't"", 'it', 'time', 'you', 'got', 'an', 'Oscar']","[13916, 13916, 12569, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,Paula Lishman Timeless elegant sustainable,"['Paula', 'Lishman', 'Timeless', 'elegant', 'sustainable']","[13916, 13916, 12570, 3999, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,A style for every story,"['A', 'style', 'for', 'every', 'story']","[13916, 11970, 13916, 13916, 11879, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,Have you ever had a bad time in Levi s,"['Have', 'you', 'ever', 'had', 'a', 'bad', 'time', 'in', 'Levi', 's']","[5642, 13916, 13916, 13916, 13916, 833, 12569, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0]"
43,Quality never goes out of style,"['Quality', 'never', 'goes', 'out', 'of', 'style']","[9739, 13916, 5249, 13916, 13916, 11970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,Levis Original jeans Original people,"['Levis', 'Original', 'jeans', 'Original', 'people']","[13916, 8497, 6675, 8497, 8886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,Our models can beat up their models,"['Our', 'models', 'can', 'beat', 'up', 'their', 'models']","[13916, 7817, 1717, 1007, 13916, 13916, 7817, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,Nothing comes between me and my Calvins,"['Nothing', 'comes', 'between', 'me', 'and', 'my', 'Calvins']","[13916, 2355, 13916, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,My bottoms are tops,"['My', 'bottoms', 'are', 'tops']","[13916, 1388, 13916, 12645, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,The Luxury of Dirt,"['The', 'Luxury', 'of', 'Dirt']","[13916, 7298, 13916, 3502, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,Diesel For Successful Living,"['Diesel', 'For', 'Successful', 'Living']","[3444, 13916, 12025, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,Behind The Scenes Since 1889,"['Behind', 'The', 'Scenes', 'Since', '1889']","[13916, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,Lee The jeans that built America,"['Lee', 'The', 'jeans', 'that', 'built', 'America']","[13916, 13916, 6675, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,Gas Keep it Simple,"['Gas', 'Keep', 'it', 'Simple']","[5094, 6780, 13916, 11186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,Gas It's True,"['Gas', ""It's"", 'True']","[5094, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,Fashion is nothing without people,"['Fashion', 'is', 'nothing', 'without', 'people']","[4490, 13916, 13916, 13916, 8886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,Lawman Leaves everyone speechless,"['Lawman', 'Leaves', 'everyone', 'speechless']","[6965, 13916, 13916, 11577, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
56,Mudd Better when it's on you,"['Mudd', 'Better', 'when', ""it's"", 'on', 'you']","[13916, 13916, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
57,Our name is Mudd,"['Our', 'name', 'is', 'Mudd']","[13916, 8062, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
58,Meltin Pot Share life,"['Meltin', 'Pot', 'Share', 'life']","[13916, 9299, 11009, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
59,Stop wishing Start living,"['Stop', 'wishing', 'Start', 'living']","[11869, 13916, 11755, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
60,Meltin Pot Get real,"['Meltin', 'Pot', 'Get', 'real']","[13916, 9299, 5167, 9906, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
61,Jeans your skin,"['Jeans', 'your', 'skin']","[6676, 13916, 11255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
62,Wrangler There's a bit of the West in all of us,"['Wrangler', ""There's"", 'a', 'bit', 'of', 'the', 'West', 'in', 'all', 'of', 'us']","[13916, 13916, 13916, 1165, 13916, 13916, 13650, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0]"
63,HIS Denim Made for Pleasure,"['HIS', 'Denim', 'Made', 'for', 'Pleasure']","[13916, 3277, 13916, 13916, 9157, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
64,Blue Cult Uncompromising,"['Blue', 'Cult', 'Uncompromising']","[1270, 2993, 13008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
65,G I V E Get Involved Volunteer Exceed,"['G', 'I', 'V', 'E', 'Get', 'Involved', 'Volunteer', 'Exceed']","[13916, 13916, 13916, 13916, 5167, 13916, 13495, 4280, 0, 0, 0, 0, 0, 0, 0, 0]"
66,True Style never dies,"['True', 'Style', 'never', 'dies']","[13916, 11970, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
67,Mustang Jeans never die They just fade away,"['Mustang', 'Jeans', 'never', 'die', 'They', 'just', 'fade', 'away']","[8025, 6676, 13916, 3443, 13916, 13916, 4433, 13916, 0, 0, 0, 0, 0, 0, 0, 0]"
68,It's hard to be nice if you don't feel comfortable,"[""It's"", 'hard', 'to', 'be', 'nice', 'if', 'you', ""don't"", 'feel', 'comfortable']","[13916, 5600, 13916, 987, 8178, 13916, 13916, 13916, 4543, 2361, 0, 0, 0, 0, 0, 0]"
69,The official uniform of New York,"['The', 'official', 'uniform', 'of', 'New', 'York']","[13916, 8394, 13107, 13916, 8158, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
70,Shoes designed to move you,"['Shoes', 'designed', 'to', 'move', 'you']","[11072, 13916, 13916, 7962, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
71,Ecco Shoes for life,"['Ecco', 'Shoes', 'for', 'life']","[13916, 11072, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
72,Clarks Shoes designed for living,"['Clarks', 'Shoes', 'designed', 'for', 'living']","[13916, 11072, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
73,Be your own label,"['Be', 'your', 'own', 'label']","[987, 13916, 13916, 6875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
74,For all the places you'll go,"['For', 'all', 'the', 'places', ""you'll"", 'go']","[13916, 13916, 13916, 9100, 13916, 5249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
75,Clarks Shoes to live in,"['Clarks', 'Shoes', 'to', 'live', 'in']","[13916, 11072, 13916, 7159, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
76,Make it better,"['Make', 'it', 'better']","[7366, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
77,Timberland Don't Wear It Use It,"['Timberland', ""Don't"", 'Wear', 'It', 'Use', 'It']","[13916, 13916, 13611, 13916, 13267, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
78,Cardinale Give value to you feet,"['Cardinale', 'Give', 'value', 'to', 'you', 'feet']","[13916, 5202, 13308, 13916, 13916, 4815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
79,Zivas The finest Footwear for the Active lifestyle,"['Zivas', 'The', 'finest', 'Footwear', 'for', 'the', 'Active', 'lifestyle']","[13916, 13916, 13916, 4824, 13916, 13916, 110, 7082, 0, 0, 0, 0, 0, 0, 0, 0]"
80,Riccardo Cartillone Highest Heels,"['Riccardo', 'Cartillone', 'Highest', 'Heels']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
81,Bostonian Look Again,"['Bostonian', 'Look', 'Again']","[13916, 7215, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
82,Finn Comfort The Finest Walking Shoes On Earth,"['Finn', 'Comfort', 'The', 'Finest', 'Walking', 'Shoes', 'On', 'Earth']","[13916, 2360, 13916, 13916, 13916, 11072, 13916, 3910, 0, 0, 0, 0, 0, 0, 0, 0]"
83,Allen Edmonds For All Walks of Life,"['Allen', 'Edmonds', 'For', 'All', 'Walks', 'of', 'Life']","[13916, 13916, 13916, 13916, 13916, 13916, 7073, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
84,Arche Color dream shoes,"['Arche', 'Color', 'dream', 'shoes']","[13916, 2337, 3795, 11069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
85,Beverly Feldman Too much is not enough,"['Beverly', 'Feldman', 'Too', 'much', 'is', 'not', 'enough']","[13916, 13916, 13916, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
86,Bobux The Baby shoes that Stay On,"['Bobux', 'The', 'Baby', 'shoes', 'that', 'Stay', 'On']","[13916, 13916, 805, 11069, 13916, 11782, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
87,Peter Kaiser Jewelry for your legs,"['Peter', 'Kaiser', 'Jewelry', 'for', 'your', 'legs']","[13916, 13916, 6691, 13916, 13916, 7008, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
88,Startrite Worn by the world's most precious feet,"['Startrite', 'Worn', 'by', 'the', ""world's"", 'most', 'precious', 'feet']","[13916, 13916, 13916, 13916, 13916, 13916, 9351, 4815, 0, 0, 0, 0, 0, 0, 0, 0]"
89,Elefanten Discover your world,"['Elefanten', 'Discover', 'your', 'world']","[13916, 3547, 13916, 13820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
90,Josef Seibel The European Comfort Shoe,"['Josef', 'Seibel', 'The', 'European', 'Comfort', 'Shoe']","[13916, 13916, 13916, 13916, 2360, 11069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
91,Wolverine They don't quit,"['Wolverine', 'They', ""don't"", 'quit']","[13787, 13916, 13916, 9775, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
92,Relentless by nature,"['Relentless', 'by', 'nature']","[10119, 13916, 8087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
93,Think Healthy shoes Naturally beautiful,"['Think', 'Healthy', 'shoes', 'Naturally', 'beautiful']","[12495, 5679, 11069, 13916, 1010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
94,Taryn Rose Luxury intelligence technology,"['Taryn', 'Rose', 'Luxury', 'intelligence', 'technology']","[13916, 10489, 7298, 6492, 12365, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
95,All play No work,"['All', 'play', 'No', 'work']","[13916, 9134, 13916, 13809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
96,Your feet will feel better,"['Your', 'feet', 'will', 'feel', 'better']","[13916, 4815, 13722, 4543, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
97,The uncommon thread,"['The', 'uncommon', 'thread']","[13916, 13006, 12514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
98,The best socks on two feet,"['The', 'best', 'socks', 'on', 'two', 'feet']","[13916, 13916, 11443, 13916, 12940, 4815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
99,High tech for your feet,"['High', 'tech', 'for', 'your', 'feet']","[5785, 12358, 13916, 13916, 4815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,The performance sock company,"['The', 'performance', 'sock', 'company']","[13916, 8907, 11443, 2415, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
101,Life is movement,"['Life', 'is', 'movement']","[7073, 13916, 7963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
102,If feet talked they'd ask for Wigwams,"['If', 'feet', 'talked', ""they'd"", 'ask', 'for', 'Wigwams']","[13916, 4815, 13916, 13916, 636, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
103,We've got your feet covered,"[""We've"", 'got', 'your', 'feet', 'covered']","[13916, 13916, 13916, 4815, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
104,The world at your feet,"['The', 'world', 'at', 'your', 'feet']","[13916, 13820, 13916, 13916, 4815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
105,Comfort in socks,"['Comfort', 'in', 'socks']","[2360, 13916, 11443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
106,Help put Australia back on its feet,"['Help', 'put', 'Australia', 'back', 'on', 'its', 'feet']","[5734, 9721, 13916, 811, 13916, 13916, 4815, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
107,Get ready to go anywhere,"['Get', 'ready', 'to', 'go', 'anywhere']","[5167, 9905, 13916, 5249, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
108,They fall up not down,"['They', 'fall', 'up', 'not', 'down']","[13916, 4450, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
109,Inspired by movement,"['Inspired', 'by', 'movement']","[6457, 13916, 7963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
110,Enduring comfort,"['Enduring', 'comfort']","[4101, 2360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
111,Farm to Feet 100 American,"['Farm', 'to', 'Feet', '100', 'American']","[4479, 13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
112,Good for your feet Good for our world,"['Good', 'for', 'your', 'feet', 'Good', 'for', 'our', 'world']","[5280, 13916, 13916, 4815, 5280, 13916, 13916, 13820, 0, 0, 0, 0, 0, 0, 0, 0]"
113,Clever engineering you can feel,"['Clever', 'engineering', 'you', 'can', 'feel']","[2193, 4115, 13916, 1717, 4543, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
114,Poetry for your feet,"['Poetry', 'for', 'your', 'feet']","[9192, 13916, 13916, 4815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
115,Bless your feet,"['Bless', 'your', 'feet']","[1218, 13916, 4815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
116,Creating healthy feet,"['Creating', 'healthy', 'feet']","[13916, 5679, 4815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
117,Love your feet,"['Love', 'your', 'feet']","[7246, 13916, 4815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
118,More sock for the money,"['More', 'sock', 'for', 'the', 'money']","[13916, 11443, 13916, 13916, 7854, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
119,Air conditioning for feet,"['Air', 'conditioning', 'for', 'feet']","[258, 2512, 13916, 4815, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
120,Don't take off without them,"[""Don't"", 'take', 'off', 'without', 'them']","[13916, 12275, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
121,Do what moves you,"['Do', 'what', 'moves', 'you']","[3681, 13916, 7962, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
122,Eco performance socks,"['Eco', 'performance', 'socks']","[13916, 8907, 11443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
123,Our socks to keep you going,"['Our', 'socks', 'to', 'keep', 'you', 'going']","[13916, 11443, 13916, 6780, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
124,Socks when you demand performance,"['Socks', 'when', 'you', 'demand', 'performance']","[13916, 13916, 13916, 3256, 8907, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
125,Fighting for better workwear,"['Fighting', 'for', 'better', 'workwear']","[13916, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
126,Love what you wear,"['Love', 'what', 'you', 'wear']","[7246, 13916, 13916, 13611, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
127,Hard Yakka Nothing's tougher,"['Hard', 'Yakka', ""Nothing's"", 'tougher']","[5600, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
128,Let's get to work,"[""Let's"", 'get', 'to', 'work']","[13916, 5167, 13916, 13809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
129,For the big jobs,"['For', 'the', 'big', 'jobs']","[13916, 13916, 1109, 6703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
130,Do it once do it well,"['Do', 'it', 'once', 'do', 'it', 'well']","[3681, 13916, 13916, 3681, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
131,Working hard never felt better,"['Working', 'hard', 'never', 'felt', 'better']","[13916, 5600, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
132,If they were any tougher they'd rust,"['If', 'they', 'were', 'any', 'tougher', ""they'd"", 'rust']","[13916, 13916, 13916, 13916, 13916, 13916, 10562, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
133,Hard working hard wearing since 1922,"['Hard', 'working', 'hard', 'wearing', 'since', '1922']","[5600, 13916, 5600, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
134,Dickies A legend in work,"['Dickies', 'A', 'legend', 'in', 'work']","[13916, 13916, 7011, 13916, 13809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
135,Fit you Fit your job,"['Fit', 'you', 'Fit', 'your', 'job']","[4674, 13916, 4674, 13916, 6703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
136,Prepare for the worst Wear the best,"['Prepare', 'for', 'the', 'worst', 'Wear', 'the', 'best']","[9394, 13916, 13916, 13916, 13611, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
137,Alexandra Clothes that mean business,"['Alexandra', 'Clothes', 'that', 'mean', 'business']","[13916, 2233, 13916, 7550, 1635, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
138,Expect compliments,"['Expect', 'compliments']","[4336, 2451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
139,Inspired comfort,"['Inspired', 'comfort']","[6457, 2360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
140,Landau Made better,"['Landau', 'Made', 'better']","[13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
141,Live your life Love your job,"['Live', 'your', 'life', 'Love', 'your', 'job']","[7159, 13916, 7073, 7246, 13916, 6703, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
142,Enjoy work,"['Enjoy', 'work']","[4120, 13809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
143,Clothing people at work,"['Clothing', 'people', 'at', 'work']","[2235, 8886, 13916, 13809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
144,Clothes designed to work,"['Clothes', 'designed', 'to', 'work']","[2233, 13916, 13916, 13809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
145,Corporate clothing that people love to wear,"['Corporate', 'clothing', 'that', 'people', 'love', 'to', 'wear']","[2750, 2235, 13916, 8886, 7246, 13916, 13611, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
146,Corporate wear with a difference,"['Corporate', 'wear', 'with', 'a', 'difference']","[2750, 13611, 13916, 13916, 3447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
147,Mascot Tested to work,"['Mascot', 'Tested', 'to', 'work']","[7483, 13916, 13916, 13809, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
148,It's gonna get dirty,"[""It's"", 'gonna', 'get', 'dirty']","[13916, 13916, 5167, 3503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
149,Protection at it's Best,"['Protection', 'at', ""it's"", 'Best']","[9592, 13916, 13916, 13916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
